SKU,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Transportation modes,Routes
SKU33,17,95,9,Carrier C,4.858270503,Sea,Route A
SKU34,26,21,7,Carrier A,1.019487571,Road,Route B
SKU35,27,85,8,Carrier C,5.28818999,Sea,Route C
SKU36,23,28,3,Carrier B,2.107951267,Air,Route C
SKU37,8,21,9,Carrier A,1.532655274,Sea,Route A
SKU38,1,88,5,Carrier B,9.235931437,Air,Route B
SKU39,29,34,3,Carrier A,5.562503779,Air,Route B
SKU40,20,39,8,Carrier C,7.22959514,Road,Route A
SKU41,19,38,8,Carrier B,5.773263744,Sea,Route A
SKU42,27,57,4,Carrier C,7.526248327,Road,Route A
SKU43,29,85,9,Carrier B,3.694021268,Air,Route A
SKU44,19,72,6,Carrier C,7.577449657,Rail,Route A
SKU45,7,52,6,Carrier B,5.215155009,Rail,Route A
SKU46,29,6,8,Carrier B,4.070955837,Road,Route B
SKU47,15,51,9,Carrier B,8.978750756,Rail,Route A
SKU48,16,9,3,Carrier C,7.095833157,Rail,Route B
SKU49,24,9,6,Carrier C,2.505621033,Rail,Route A
SKU50,23,82,10,Carrier A,6.247860915,Rail,Route B
SKU51,4,52,1,Carrier A,4.783000558,Road,Route A
SKU52,11,11,1,Carrier B,8.63105218,Air,Route C
SKU53,25,54,3,Carrier B,1.013486566,Air,Route B
SKU54,22,61,3,Carrier B,4.305103471,Road,Route B
SKU55,11,11,5,Carrier A,5.014364955,Sea,Route B
SKU56,23,83,5,Carrier C,1.774429714,Air,Route B
SKU57,18,51,1,Carrier B,9.160558535,Rail,Route A
SKU58,5,44,7,Carrier A,4.938438565,Road,Route B
SKU59,16,26,7,Carrier B,7.293722597,Air,Route A
SKU60,27,72,8,Carrier C,4.381368158,Rail,Route A
SKU61,23,36,7,Carrier C,9.030340423,Air,Route A
SKU62,2,40,7,Carrier C,7.291701389,Sea,Route C
SKU63,19,10,4,Carrier A,2.457933528,Sea,Route A
SKU64,27,75,6,Carrier C,4.585353468,Air,Route C
SKU65,24,54,8,Carrier C,6.580541348,Rail,Route C
SKU66,17,19,8,Carrier A,2.216142729,Road,Route A
SKU67,9,71,9,Carrier C,9.147811545,Sea,Route C
SKU68,8,58,8,Carrier B,1.194251865,Rail,Route A
SKU69,1,27,3,Carrier B,9.70528679,Air,Route A
SKU70,12,22,4,Carrier B,6.315717755,Road,Route C
SKU71,2,26,6,Carrier A,9.228190317,Road,Route A
SKU72,29,77,9,Carrier A,6.59961416,Rail,Route B
SKU73,25,66,5,Carrier B,1.512936837,Road,Route A
SKU74,6,1,5,Carrier A,5.23765465,Rail,Route A
SKU75,20,56,10,Carrier C,2.473897761,Air,Route C
SKU76,1,22,10,Carrier A,7.054538337,Rail,Route A
SKU77,28,57,4,Carrier B,6.780946626,Road,Route B
SKU78,4,51,5,Carrier B,8.467049771,Sea,Route C
SKU79,25,20,1,Carrier B,6.496325364,Air,Route C
SKU80,14,41,2,Carrier C,2.833184679,Sea,Route B
SKU81,6,8,5,Carrier B,4.066277502,Rail,Route B
SKU82,19,72,1,Carrier A,4.708181874,Road,Route C
SKU83,24,7,8,Carrier B,4.949839578,Road,Route A
SKU84,26,80,10,Carrier A,8.381615625,Air,Route B
SKU85,18,66,2,Carrier C,8.249168705,Road,Route B
SKU86,14,22,6,Carrier B,1.45430531,Rail,Route A
SKU87,7,55,10,Carrier A,6.575803798,Sea,Route B
SKU88,18,85,7,Carrier A,3.801253133,Sea,Route A
SKU89,1,27,8,Carrier B,9.929816245,Rail,Route B
SKU90,18,96,7,Carrier B,7.674430708,Rail,Route B
SKU91,22,85,7,Carrier B,7.471514084,Rail,Route B
SKU92,25,10,8,Carrier B,4.469500026,Rail,Route B
SKU93,17,66,1,Carrier C,7.006432059,Air,Route A
SKU94,26,72,9,Carrier B,6.942945942,Rail,Route B
SKU95,14,26,9,Carrier B,8.63033887,Air,Route A
SKU96,2,32,3,Carrier C,5.352878044,Road,Route A
SKU97,19,4,9,Carrier A,7.904845611,Road,Route A
SKU98,1,27,7,Carrier B,1.409801095,Rail,Route A
SKU99,8,59,6,Carrier B,1.311023756,Rail,Route B
