SKU,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates
SKU88,Supplier 2,Mumbai,21,953,11,68.18491906,Pending,0.722204402
SKU89,Supplier 1,Kolkata,23,370,11,46.60387338,Pending,1.907665734
SKU90,Supplier 3,Bangalore,8,585,8,85.67596334,Pass,1.219382224
SKU91,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626001858
SKU92,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333431825
SKU93,Supplier 4,Chennai,21,824,20,35.63365234,Fail,4.165781795
SKU94,Supplier 2,Delhi,12,908,14,60.38737861,Pass,1.463607498
SKU95,Supplier 4,Mumbai,18,450,26,58.89068577,Pending,1.21088213
SKU96,Supplier 3,Mumbai,28,648,28,17.80375633,Pending,3.872047681
SKU97,Supplier 4,Mumbai,10,535,13,65.76515593,Fail,3.376237835
SKU98,Supplier 5,Chennai,28,581,9,5.604690864,Pending,2.908122169
SKU99,Supplier 2,Chennai,29,921,2,38.07289852,Fail,0.346027291
